cell,clat,clon,cell_area,clon180
231,-60.93867137017154,23.84022005159529,127337085009.74977,23.84022005159528
232,-60.93867137017154,30.385674597049817,127337085009.7498,30.385674597049814
233,-60.93867137017154,36.931129142504375,127337085009.75072,36.931129142504375
234,-60.93867137017154,43.476583687958936,127337085009.7495,43.476583687958936
235,-60.93867137017154,50.02203823341346,127337085009.7498,50.02203823341347
236,-60.93867137017154,56.567492778867994,127337085009.7497,56.567492778868
237,-60.93867137017154,63.11294732432255,127337085009.75075,63.11294732432253
238,-60.93867137017154,69.65840186977711,127337085009.74983,69.6584018697771
239,-60.93867137017154,76.20385641523164,127337085009.74966,76.20385641523166
240,-60.93867137017154,82.74931096068617,127337085009.74963,82.74931096068616
241,-60.93867137017154,89.29476550614072,127337085009.75067,89.29476550614072
242,-60.93867137017154,95.84022005159531,127337085009.75087,95.84022005159534
243,-60.93867137017154,102.38567459704984,127337085009.74872,102.38567459704984
244,-60.93867137017154,108.93112914250437,127337085009.75064,108.93112914250435
245,-60.93867137017154,115.47658368795891,127337085009.7487,115.47658368795891
246,-60.93867137017154,122.02203823341344,127337085009.75067,122.02203823341347
247,-60.93867137017154,128.56749277886803,127337085009.75087,128.56749277886803
248,-60.93867137017154,135.11294732432253,127337085009.74889,135.11294732432253
249,-60.93867137017154,141.6584018697771,127337085009.75064,141.6584018697771
250,-60.93867137017154,148.20385641523166,127337085009.75053,148.20385641523166
251,-60.93867137017154,154.74931096068622,127337085009.74863,154.74931096068622
252,-60.93867137017154,161.29476550614072,127337085009.7507,161.29476550614072
253,-60.93867137017154,167.8402200515953,127337085009.75078,167.84022005159534
254,-60.93867137017154,174.38567459704984,127337085009.74924,174.38567459704984
255,-60.93867137017154,0.9311291425043748,127337085009.74997,0.9311291425043748
256,-60.93867137017154,-172.5234163120411,127337085009.74924,-172.5234163120411
257,-60.93867137017154,-165.97796176658656,127337085009.75024,-165.97796176658656
258,-60.93867137017154,-159.43250722113197,127337085009.75175,-159.43250722113197
259,-60.93867137017154,-152.88705267567744,127337085009.74818,-152.88705267567744
260,-60.93867137017154,-146.34159813022293,127337085009.7502,-146.34159813022293
261,-60.93867137017154,-139.7961435847684,127337085009.7492,-139.7961435847684
262,-60.93867137017154,-133.25068903931384,127337085009.75134,-133.25068903931384
263,-60.93867137017154,-126.70523449385925,127337085009.75017,-126.70523449385925
264,-60.93867137017154,-120.15977994840469,127337085009.75008,-120.15977994840469
265,-60.93867137017154,-113.61432540295016,127337085009.7496,-113.61432540295016
266,-60.93867137017154,-107.06887085749563,127337085009.75012,-107.06887085749563
267,-60.93867137017154,-100.52341631204109,127337085009.74924,-100.52341631204109
268,-60.93867137017154,-93.97796176658656,127337085009.75023,-93.97796176658656
269,-60.93867137017154,-87.43250722113197,127337085009.75142,-87.43250722113197
270,-60.93867137017154,-80.88705267567744,127337085009.7479,-80.88705267567744
271,-60.93867137017154,-74.34159813022293,127337085009.75053,-74.34159813022293
272,-60.93867137017154,-67.7961435847684,127337085009.74902,-67.7961435847684
273,-60.93867137017154,-61.25068903931387,127337085009.7504,-61.25068903931387
274,-60.93867137017154,-54.70523449385928,127337085009.7515,-54.70523449385928
275,-60.93867137017154,-48.15977994840469,127337085009.75029,-48.15977994840469
276,-60.93867137017154,-41.6143254029501,127337085009.75136,-41.6143254029501
277,-60.93867137017154,-35.06887085749557,127337085009.74825,-35.06887085749557
278,-60.93867137017154,-28.523416312041064,127337085009.75037,-28.523416312041064
279,-60.93867137017154,-21.97796176658653,127337085009.74927,-21.97796176658653
280,-57.707660447078965,-15.70523449385928,127382937102.75528,-15.70523449385928
281,-57.707660447078965,-9.70523449385928,127382937102.7552,-9.70523449385928
282,-57.707660447078965,-3.7052344938592796,127382937102.75528,-3.7052344938592796
283,-57.707660447078965,2.2947655061407204,127382937102.75542,2.2947655061407204
284,-57.707660447078965,8.29476550614073,127382937102.75612,8.29476550614072
285,-57.707660447078965,14.294765506140738,127382937102.75502,14.294765506140749
286,-57.707660447078965,20.29476550614072,127382937102.75484,20.29476550614072
287,-57.707660447078965,26.294765506140727,127382937102.75598,26.29476550614072
288,-57.707660447078965,32.294765506140735,127382937102.75488,32.29476550614072
289,-57.707660447078965,38.29476550614072,127382937102.75497,38.29476550614072
290,-57.707660447078965,44.294765506140706,127382937102.75502,44.29476550614072
291,-57.707660447078965,50.294765506140706,127382937102.75609,50.29476550614072
292,-57.707660447078965,56.29476550614075,127382937102.75603,56.29476550614075
293,-57.707660447078965,62.29476550614076,127382937102.75507,62.29476550614078
294,-57.707660447078965,68.29476550614075,127382937102.75523,68.29476550614075
295,-57.707660447078965,74.29476550614072,127382937102.75471,74.29476550614072
296,-57.707660447078965,80.29476550614072,127382937102.75598,80.29476550614072
297,-57.707660447078965,86.29476550614075,127382937102.7552,86.29476550614072
298,-57.707660447078965,92.29476550614072,127382937102.75478,92.29476550614072
299,-57.707660447078965,98.29476550614069,127382937102.75493,98.29476550614072
300,-57.707660447078965,104.29476550614072,127382937102.75633,104.29476550614072
301,-57.707660447078965,110.29476550614069,127382937102.75365,110.29476550614072
302,-57.707660447078965,116.29476550614068,127382937102.756,116.29476550614066
303,-57.707660447078965,122.29476550614072,127382937102.7559,122.29476550614072
304,-57.707660447078965,128.29476550614075,127382937102.7562,128.29476550614072
305,-57.707660447078965,134.29476550614078,127382937102.75597,134.29476550614078
306,-57.707660447078965,140.29476550614078,127382937102.75397,140.29476550614078
307,-57.707660447078965,146.29476550614072,127382937102.75603,146.29476550614072
308,-57.707660447078965,152.29476550614072,127382937102.7538,152.29476550614072
309,-57.707660447078965,158.29476550614072,127382937102.75615,158.29476550614072
310,-57.707660447078965,164.29476550614072,127382937102.75609,164.29476550614072
311,-57.707660447078965,170.29476550614072,127382937102.7538,170.29476550614072
312,-57.707660447078965,176.29476550614072,127382937102.75603,176.29476550614072
313,-57.707660447078965,2.2947655061407204,127382937102.75531,2.2947655061407204
314,-57.707660447078965,-171.70523449385928,127382937102.75536,-171.70523449385928
315,-57.707660447078965,-165.70523449385928,127382937102.75485,-165.70523449385928
316,-57.707660447078965,-159.70523449385928,127382937102.75545,-159.70523449385928
